id,city_id,infections,deaths,date
null,1,13,7,07/14/2020
null,1,23,7,07/13/2020
null,1,6,5,07/12/2020
null,1,30,1,07/11/2020
null,1,2,5,07/10/2020
null,1,64,4,07/09/2020
null,1,20,3,07/08/2020
null,1,43,4,07/07/2020
null,1,13,3,07/06/2020
null,1,7,4,07/05/2020
null,1,29,2,07/04/2020
null,1,64,5,07/03/2020
null,1,26,4,07/02/2020
null,1,19,0,07/01/2020
null,1,49,8,06/30/2020
null,1,33,3,06/29/2020
null,1,29,1,06/28/2020
null,1,80,3,06/27/2020
null,1,19,10,06/26/2020
null,1,28,4,06/25/2020
null,1,34,5,06/24/2020
null,1,74,3,06/23/2020
null,1,45,2,06/22/2020
null,1,57,0,06/21/2020
null,1,46,1,06/20/2020
null,1,44,3,06/19/2020
null,1,39,0,06/18/2020
null,1,23,4,06/17/2020
null,1,12,4,06/16/2020
null,1,22,4,06/15/2020
null,1,30,0,06/14/2020
null,1,22,0,06/13/2020
null,1,59,10,06/12/2020
null,1,40,5,06/11/2020
null,1,15,3,06/10/2020
null,1,63,3,06/09/2020
null,1,25,3,06/08/2020
null,1,0,0,06/07/2020
null,1,7,0,06/06/2020
null,1,40,3,06/05/2020
null,1,66,2,06/04/2020
null,1,20,2,06/03/2020
null,1,2,6,06/02/2020
null,1,57,0,06/01/2020
null,1,19,3,05/31/2020
null,1,1,0,05/30/2020
null,1,15,1,05/29/2020
null,1,5,3,05/28/2020
null,1,36,2,05/27/2020
null,1,9,1,05/26/2020
null,1,2,0,05/25/2020
null,1,28,1,05/24/2020
null,1,8,4,05/23/2020
null,1,23,0,05/22/2020
null,1,8,1,05/21/2020
null,1,18,1,05/20/2020
null,1,4,0,05/19/2020
null,1,22,1,05/18/2020
null,1,7,0,05/17/2020
null,1,14,0,05/16/2020
null,1,9,0,05/15/2020
null,1,5,0,05/14/2020
null,1,16,0,05/13/2020
null,1,4,0,05/12/2020
null,1,2,0,05/11/2020
null,1,5,0,05/10/2020
null,1,3,0,05/09/2020
null,1,4,0,05/08/2020
null,1,4,0,05/07/2020
null,1,3,1,05/06/2020
null,1,0,0,05/05/2020
null,1,4,1,05/04/2020
null,1,10,0,05/03/2020
null,1,1,0,05/02/2020
null,1,2,0,05/01/2020
null,1,14,3,04/30/2020
